time,latitude,longitude,depth,magnitude,place
2024-01-23 09:24:48.264,41.369,78.7846,10.0,4.2,"122 km WNW of Aykol, China"
2024-01-23 09:23:21.651,41.1438,78.5982,,4.6,"130 km W of Aykol, China"
2024-01-23 09:10:11.463,41.1657,78.6323,10.0,4.4,"128 km W of Aykol, China"
2024-01-23 09:07:11.636,41.239,78.766,10.0,4.9,"119 km WNW of Aykol, China"
2024-01-23 07:31:52.856,41.3215,78.6702,10.0,4.1,"126 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 07:19:17.537,41.1846,78.6917,10.0,4.3,"123 km WNW of Aykol, China"
2024-01-23 07:06:37.682,41.1431,78.6587,10.0,4.0,"125 km W of Aykol, China"
2024-01-23 06:41:09.982,41.1596,78.6372,10.0,4.3,"127 km W of Aykol, China"
2024-01-23 04:31:02.110,41.2653,78.7671,,4.1,"119 km WNW of Aykol, China"
2024-01-23 04:25:48.497,41.1741,78.6587,10.0,4.0,"126 km W of Aykol, China"
2024-01-23 04:21:22.850,41.3667,78.8382,,4.0,"117 km WNW of Aykol, China"
2024-01-23 04:13:32.412,41.23,78.5883,10.0,4.1,"132 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 04:01:22.322,41.3613,78.8068,10.0,4.7,"120 km WNW of Aykol, China"
2024-01-23 03:52:34.790,41.3095,78.7494,14.138,4.2,"122 km WNW of Aykol, China"
2024-01-23 03:52:21.749,41.3649,78.7635,,4.4,"123 km WNW of Aykol, China"
2024-01-23 02:58:38.646,41.4491,78.7587,,4.1,"117 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 02:11:24.002,41.2364,78.5704,10.0,4.4,"131 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-23 01:58:31.794,41.1224,78.5826,10.0,4.0,"131 km W of Aykol, China"
2024-01-23 01:52:56.467,41.354,78.7466,10.0,4.5,"124 km WNW of Aykol, China"
2024-01-23 01:52:13.413,41.4363,78.9949,10.0,4.1,"109 km WNW of Aykol, China"
2024-01-23 01:43:15.969,41.2102,78.6429,10.0,4.0,"128 km WNW of Aykol, China"
2024-01-23 01:40:23.542,41.2376,78.6827,10.0,4.6,"125 km WNW of Aykol, China"
2024-01-23 01:18:40.538,41.2353,78.7576,3.426,5.3,"119 km WNW of Aykol, China"
2024-01-23 00:22:28.281,41.3688,78.891,8.833,,"114 km WNW of Aykol, China"
2024-01-23 00:12:40.167,41.1899,78.6491,10.0,4.7,"127 km W of Aykol, China"
2024-01-23 00:06:50.642,41.1314,78.4813,10.0,4.0,"140 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 23:56:19.612,41.1752,78.5545,10.0,4.4,"135 km W of Aykol, China"
2024-01-22 23:55:34.640,41.1675,78.5915,9.183,,"131 km W of Aykol, China"
2024-01-22 23:44:28.615,41.2605,78.6373,5.941,4.2,"130 km WNW of Aykol, China"
2024-01-22 23:19:25.792,41.1968,78.7302,7.148,5.1,"121 km WNW of Aykol, China"
2024-01-22 23:03:25.504,41.336,78.7655,7.409,4.6,"122 km WNW of Aykol, China"
2024-01-22 22:56:41.684,41.241,78.6174,,4.4,"131 km WNW of Aykol, China"
2024-01-22 22:40:26.351,41.224,78.6032,,4.4,"132 km WNW of Aykol, China"
2024-01-22 22:20:04.138,41.1837,78.6216,10.0,4.2,"129 km W of Aykol, China"
2024-01-22 22:09:00.188,41.3363,78.7099,10.0,4.3,"126 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 21:50:44.744,41.3089,78.6998,,4.1,"126 km WNW of Aykol, China"
2024-01-22 21:49:15.709,41.2838,78.6414,,4.5,"128 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 21:43:05.717,41.2285,78.7236,,5.2,"122 km WNW of Aykol, China"
2024-01-22 21:38:36.584,41.3296,78.8771,10.0,4.5,"113 km WNW of Aykol, China"
2024-01-22 21:25:43.445,41.2177,78.6482,10.0,4.2,"128 km WNW of Aykol, China"
2024-01-22 21:21:02.786,41.121,78.5479,9.296,,"134 km W of Aykol, China"
2024-01-22 21:16:44.640,41.2049,78.6,10.0,4.9,"131 km WNW of Aykol, China"
2024-01-22 21:12:42.390,41.1809,78.5201,6.97,,"135 km SSE of Kyzyl-Suu, Kyrgyzstan"
2024-01-22 21:04:18.933,41.2691,78.6723,6.728,,"127 km WNW of Aykol, China"
2024-01-22 20:57:13.124,41.3163,78.8111,10.0,4.6,"118 km WNW of Aykol, China"
2024-01-22 20:48:35.535,41.2936,78.6642,,4.1,"128 km SSE of Kyzyl-Suu, Kyrgyzstan"
